Time (s)	Detector A	Detector B	Coincidences AB
0.000	93	48	89
0.048	77	5	84
0.095	86	26	70
0.256	40	32	28
0.304	7	68	83
0.496	50	46	8
0.672	3	6	91
0.720	33	18	83
0.880	69	85	17
0.944	22	24	76
1.017	97	45	71
1.241	99	5	99
1.289	5	3	40
1.545	52	31	30
1.593	38	93	25
1.657	85	44	60
1.689	99	43	63
1.753	61	45	86
1.785	76	54	4
2.009	35	46	42
2.071	66	81	50
2.103	99	26	55
2.151	83	77	77
2.199	65	86	36
2.247	42	30	8
2.295	44	94	96
2.342	44	80	20
2.391	95	42	30
2.439	65	39	39
2.486	95	27	10
2.551	58	89	16
2.582	74	6	29
2.646	30	52	17
2.694	89	15	91
2.759	44	64	40
2.790	63	64	66
2.854	62	38	68
2.916	18	11	72
2.948	83	9	73
2.996	42	44	94
3.044	86	63	40
3.092	64	97	73
3.157	70	37	59
3.188	8	39	67
3.252	31	91	18
3.284	50	62	92
3.348	44	26	44
3.396	60	39	55
3.460	99	28	68
3.492	26	4	64
3.540	21	22	76
3.588	71	60	37
3.652	92	85	11
3.684	42	81	29
3.748	16	8	91
3.796	87	32	33
3.870	100	0	100
3.886	95	5	74
4.110	39	80	95
4.158	8	52	31
4.207	56	37	98
4.255	3	82	98
4.303	14	33	11
4.350	78	13	96
4.399	39	66	30
4.446	54	56	60
4.494	8	43	43
4.543	73	96	86
4.590	81	87	43
4.639	34	97	60
4.686	33	38	18
4.751	65	77	16
4.782	52	29	66
4.915	100	0	100
4.931	67	30	34
4.947	99	6	41
4.995	12	27	23
5.042	24	16	10
5.091	51	56	3
5.363	58	69	79
5.410	23	34	83
5.459	4	84	49
5.507	67	24	10
5.555	7	72	18
5.603	37	13	9
5.651	50	85	36
5.698	96	55	55
5.762	62	47	9
5.794	45	43	79
5.889	7	41	54
5.904	82	68	81
5.952	81	77	31
5.984	23	16	48
6.048	56	0	76
6.096	98	92	51
6.144	55	0	26
6.192	59	11	34
6.240	22	25	59
6.288	63	14	42
6.352	20	69	34
6.384	68	37	62
6.448	78	65	50
6.496	29	89	12
6.544	37	27	98
6.591	68	94	67
6.640	14	31	37
6.688	91	90	0
6.896	40	15	76
6.958	66	20	76
6.990	23	32	66
7.054	77	42	24
7.086	30	24	8
7.149	66	70	49
7.198	81	83	26
7.245	97	35	56
7.293	33	70	32
7.358	0	41	99
7.389	83	78	82
7.454	91	44	79
7.485	99	33	42
7.550	52	24	17
7.597	75	81	52
7.662	75	30	93
7.693	9	87	20
7.757	70	36	39
7.790	6	9	64
7.904	40	26	77
7.920	91	62	44
7.953	72	56	48
7.984	59	44	89
8.048	69	63	4
8.096	26	97	50
8.160	63	55	95
8.192	65	46	55
8.256	43	26	52
8.288	54	10	43
8.352	98	56	9
8.384	57	26	53
8.447	20	14	14
8.496	7	66	77
8.544	26	87	50
8.592	26	9	7
8.656	7	83	57
8.688	53	68	40
8.752	55	54	29
8.784	4	89	97
8.879	95	68	88
8.896	85	76	34
8.943	88	77	43
8.992	90	18	81
9.040	70	95	89
9.087	20	54	78
9.151	34	16	46
9.183	55	3	82
9.247	68	80	47
9.295	66	50	31
9.360	72	74	76
9.391	48	47	11
9.439	16	58	60
9.487	67	78	62
9.552	36	32	15
9.583	83	15	61
9.647	43	12	0
9.696	48	65	29
9.759	85	37	54
9.791	53	87	90
9.887	41	0	12
9.903	70	87	18
9.950	75	64	65
9.983	96	55	62
10.047	53	37	29
10.095	75	88	32
10.159	29	32	4
10.190	72	89	15
10.255	35	59	66
10.287	72	68	90
10.350	37	21	69
10.383	75	34	25
10.446	6	87	73
10.494	5	52	93
10.559	27	2	97
10.590	15	46	54
10.654	56	58	58
10.686	51	11	80
10.750	12	21	69
10.782	97	89	43
10.888	21	39	65
10.904	2	32	66
10.952	24	59	72
10.984	94	68	90
11.048	14	31	81
11.095	87	99	42
11.144	66	28	50
11.192	72	29	18
11.256	36	19	13
11.288	57	92	2
11.351	34	22	10
11.383	54	74	23
11.448	37	1	64
11.496	85	8	71
11.544	4	59	70
11.591	79	21	37
11.640	76	64	0
11.688	33	21	77
11.752	52	36	22
11.783	98	39	19
